_id,Description/Name,Part#,Supplier,#/RIG
673c975ebe80e05651d0387b,Size 4 Steel Bulkhead Fitting,0306-4,Service Manufacturing Supply,29
673c975ebe80e05651d0387c,Size 4 JIC Tube,0318-4,Service Manufacturing Supply,54
673c975ebe80e05651d0387d,Size 4 JIC Tube Sleeve,0319-4,Service Manufacturing Supply,54
673c975ebe80e05651d0387e,Size 4 JIC Male Connector,2404-4-4,Service Manufacturing Supply,1
673c975ebe80e05651d0387f,Size 4 JIC Male Elbow ,2501-4-4,Service Manufacturing Supply,1
673c975ebe80e05651d03880,Size 4 JIC Male 45 Degree Elbow,2503-4-4,Service Manufacturing Supply,1
673c975ebe80e05651d03881,Size 4 JIC Bulkhead Union,2700-4,Service Manufacturing Supply,13
673c975ebe80e05651d03882,Size 4 JIC Bulkhead Union Elbow,2701-4,Service Manufacturing Supply,7
673c975ebe80e05651d03883,Size 4 JIC Bulkhead Union 45 Degree Elbow ,2702-4,Service Manufacturing Supply,7
673c975ebe80e05651d03884,Size 4 JIC Bulkhead Run Tee,2704-4,Service Manufacturing Supply,1
673c975ebe80e05651d03885,Size 4-8 JIC To O-Ring Connector,6400-04-08T00:00:00.000Z,Service Manufacturing Supply,1
673c975ebe80e05651d03886,Size 4 JIC Swivel Nut Elbow,6500-4,Service Manufacturing Supply,2
673c975ebe80e05651d03887,Size 4-6 JIC Swivel Nut Elbow,6500-4-6,Service Manufacturing Supply,1
673c975ebe80e05651d03888,Size 4 JIC Swivel 45 Degree Elbow,6502-4,Service Manufacturing Supply,2
673c975ebe80e05651d03889,Size 4-6 JIC to O-Ring Eblow Connector,6801-NWO-4-6,Service Manufacturing Supply,2
673c975ebe80e05651d0388a,Size 4-8 JIC To O-Ring Eblow Connector,6801-NWO-4-8,Service Manufacturing Supply,17
673c975ebe80e05651d0388b,Size 4-8 JIC To O-Ring 45 Degree Elbow,6802-NWO-4-8,Service Manufacturing Supply,3
673c975ebe80e05651d0388c,Size 6 Steel Bulkhead Fitting ,0306-6,Service Manufacturing Supply,8
673c975ebe80e05651d0388d,Size 6 JIC Tube Nut,0318-6,Service Manufacturing Supply,24
673c975ebe80e05651d0388e,Size 6 Cap,0304-C-6,Service Manufacturing Supply,1
673c975ebe80e05651d0388f,Size 6 JIC Tube Sleeve,0319-6,Service Manufacturing Supply,24
673c975ebe80e05651d03890,Size 6 JIC Male Elbow,2501-6,Service Manufacturing Supply,2
673c975ebe80e05651d03891,Size 6 JIC Bulkhead Union,2700-6,Service Manufacturing Supply,6
673c975ebe80e05651d03892,Size 6 JIC Bulkhead Union Elbow,2701-6,Service Manufacturing Supply,1
673c975ebe80e05651d03893,Size 6 JIC Bulkhead Union 45 Degree Elbow,2702-6,Service Manufacturing Supply,2
673c975ebe80e05651d03894,Size 6 JIC To O-Ring Connector,6400-6,Service Manufacturing Supply,2
673c975ebe80e05651d03895,Size 6-8 JIC to O-Ring Connector,6400-6-8,Service Manufacturing Supply,2
673c975ebe80e05651d03896,Size 6 JIC Swivel Nut Elbow ,6500-6,Service Manufacturing Supply,2
673c975ebe80e05651d03897,Size 6 JIC To O-Ring Elbow Connector,6801-NWO-6,Service Manufacturing Supply,6
