Description/Name,Part#,Supplier,#/RIG,Images
Size 4 Steel Bulkhead Fitting,0306-4,Federal Fluid Power,14,
Size 4 JIC Tube Nut ,0318-4,Federal Fluid Power,28,
Size 4 JIC Tube Sleeve ,0319-4,Federal Fluid Power,28,
Size 4 JIC Bulkhead Union ,2700-4,Federal Fluid Power,12,
Size 4 JIC Bulkhead Union Elbow,2701-4,Federal Fluid Power,2,
Size 4-8 JIC To O-Ring Connector ,6400-4-8,Federal Fluid Power,19,
Size 4 JIC Swivel To Male Pipe Elbow,6501-4,Federal Fluid Power,2,
Size 4-8 JIC To O-Ring Eblow Connector,6801-NWO-4-8,Federal Fluid Power,12,
Size 6 Steel Bulkhead Fitting,0306-6,Federal Fluid Power,5,
Size 6 JIC Tube Nut,0318-6,Federal Fluid Power,26,
Size 6 JIC Tube Sleeve,0319-6,Federal Fluid Power,26,
Size 6 JIC Female Connector,2405-6,Federal Fluid Power,1,
Size 6 JIC Bulkhead Union Elbow ,2701-6,Federal Fluid Power,2,
Size 6 JIC Bulkhead Union 45 Degree Elbow ,2702-6,Federal Fluid Power,2,
Size 6-8 JIC O-Ring Connector ,6400-6-8,Federal Fluid Power,8,
Size 6-10 JIC O-Ring Connector ,6400-6-10,Federal Fluid Power,8,
Size  6-8 JIC To O-Ring Elbow Connector,6801-NWO-6-8,Federal Fluid Power,4,
Size 12 Steel Bulkhead Fitting,0306-12,Federal Fluid Power,13,
Size 12 JIC Tube Nut ,0318-12,Federal Fluid Power,30,
Size 12 JIC Tube Sleeve,0319-12,Federal Fluid Power,30,
Size 12-4 JIC Reducer ,2406-12-4,Federal Fluid Power,2,
Size 12 JIC Bulkhead Union ,2700-12,Federal Fluid Power,6,
Size 12 JIC Bulkhead Union Elbow,2701-12,Federal Fluid Power,2,
Size 12 JIC Bulkhead Union 45 Degree Elbow,2702-12,Federal Fluid Power,3,
Size 12 JIC Bulkhead Run Tee,2704-12,Federal Fluid Power,2,
Size 12 Long JIC To O-Ring Connector,6400-L-12-12-O,Federal Fluid Power,0,
Size 12-10 JIC To O-Ring Connector,6400-12-10,Federal Fluid Power,2,
Size 12 JIC Swivel Nut Elbow,6500-12,Federal Fluid Power,1,
Size 12 Female JIC Swivel Connector,6565-12,Federal Fluid Power,1,
Size 12-10 JIC To O-Ring Elbow Connector,6801-NWO-12-10,Federal Fluid Power,3,
Size 12 JIC To O-Ring Elbow Connector,6801-NWO-12,Federal Fluid Power,15,
Size 12-10 JIC To O-Ring 45 Degree Elbow ,6802-NWO-12-10,Federal Fluid Power,1,
Size 12 JIC To O-Ring 45 Degree Elbow,6802-NWO-12 ,Federal Fluid Power,3,
Size 12 JIC To O-Ring Run Tee,6804-NWO-12,Federal Fluid Power,1,
Size 12 JIC Swivel Nut To O-Ring Elbow,6809-NWO-12,Federal Fluid Power,1,
LENZ Wheel,WFA_12,Federal Fluid Power,3,
Size 16 Steel Bulkhead Fitting ,0306-16,Federal Fluid Power,1,
Size 16 JIC Tube Nut,0318-16,Federal Fluid Power,4,
Size 16 JIC Tube Sleeve ,0319-16,Federal Fluid Power,4,
Size 16-12 JIC Reducer ,2406-16-12,Federal Fluid Power,1,
Size 16-20 JIC Expander,2406-16-20,Federal Fluid Power,1,
Size 16 JIC Bulkhead Union Elbow ,2701-16,Federal Fluid Power,1,
Size 16 JIC Swivel Run Tee,6602-16,Federal Fluid Power,1,
Size 16-12 JIC To O-Ring Elbow Connector ,6801-NWO-16-12,Federal Fluid Power,1,
Size 16-12 JIC To O-Ring Branch Tee,6803-NWO-16-12,Federal Fluid Power,1,
Size 20 Steel Bulkhead Fitting,0306-20,Federal Fluid Power,2,
Size 20 JIC Tube Nut,0318-20,Federal Fluid Power,10,
Size 20 JIC Tube Sleeve ,0319-20,Federal Fluid Power,10,
Size 20-12 JIC Reducer,2406-20-12,Federal Fluid Power,1,
Size 20 JIC Bulkhead Union Elbow,2701-20,Federal Fluid Power,2,
Size 20-12 JIC To O-Ring Connector,6400-20-12,Federal Fluid Power,1,
Size 20 JIC To O-Ring Connector ,6400-20,Federal Fluid Power,1,
Size 20 JIC Swivel Run Tee,6602-20,Federal Fluid Power,1,
Size 20 JIC To O-Ring Elbow Connector,6801-NWO-20,Federal Fluid Power,3,
UNKWN Wheel,WFA_20,Federal Fluid Power,1,
"Size 4 (0.25"") Crimp On Fitting",04-04FJX,Federal Fluid Power,27,
"Size 4 (0.25"") Crimp On Fitting 45 Degree",04-04FJX45,Federal Fluid Power,1,
"Size 4 (0.25"") Crimp On Fitting 90 Degree",04G-04FJX90M,Federal Fluid Power,4,
"Size 12 (0.75"") Crimp On Fitting ",12G-12FJX,Federal Fluid Power,19,
"Size 12 (0.75"") Crimp On Fitting 45 Degree",12G-12MJ45,Federal Fluid Power,5,
"Size 12 (0.75"") Crimp On Fitting 90 Degree -Long",12G-B2-JCFX90L,Federal Fluid Power,1,
"Size 12 (0.75"") Crimp On Fitting 90 Degree  ",12G-12FJX90,Federal Fluid Power,4,
Super Swivel Straight ,SS-MJB-12XMJ,Federal Fluid Power,1,
Super Swivel ,SS-12-MJ-12XFP,Federal Fluid Power,1,
