Degree,Part#,Supplier,Current Stock,Comparison,Notes,Order,Webpage,Suggest List Price/1,Location,Amount for HAZL,Amount for MAZL
Size 4-6 JIC Male Connector,2404-6-10,Federal Fluid Power,14,UNKWN,AC,,,,,,
Size 4-6 JIC Male Connector,2404-4-6,Federal Fluid Power,21,UNKWN,AC,,,,,,
Size 4 JIC Male Connector,2404-4-4,Service Manufacturing Supply,28,HAZL ONLY,AC,,,,,,
Size 4 JIC Male Elbow,2501-4-4,Service Manufacturing Supply,1,HAZL ONLY,AC,,,,,,
Size 4-6 JIC Male Elbow,2501-4-6,Federal Fluid Power,3,UNKWN,AC,,,,,,
Size 4 JIC Male 45 Degree Elbow,2503-4-4,Service Manufacturing Supply,8,HAZL ONLY,AC,,,,,,
Size 4-6 JIC Male 45 Degree Elbow,2503-4-6,Federal Fluid Power,4,UNKWN,AC,,,,,,
Size 4 JIC Bulkhead Union 45 Degree Elbow,2702-4-4,Service Manufacturing Supply,72,HAZL ONLY,AC,,,,,,
Size 4 JIC Bulkhead Run Tee,2704-4,Service Manufacturing Supply,,HAZL ONLY,,,,,,,
Size 4 JIC Swivel Nut Elbow,6500-4-4,Service Manufacturing Supply,28,HAZL ONLY,AC,,,,,,
Size 4-6 JIC Swivel Nut Elbow,6500-4-6,Service Manufacturing Supply,16,HAZL ONLY,AC,,,,,,
Size 4 JIC Swivel 45 Degree Elbow,6502-4-4,Service Manufacturing Supply,15,HAZL ONLY,AC,,,,,,
Size 6 JIC Swivel 45 Degree Elbow,6502-6-6,Federal Fluid Power,6,UNKWN,AC,,,,,,
Size 4-6 JIC to O-Ring Elbow Connector,6801-4-6,Service Manufacturing Supply,15,HAZL ONLY,AC,,,,,,
Size 4 JIC to O-Ring Elbow Connector,6801-4-4,Federal Fluid Power,4,UNKWN,AC,,,,,,
Size 4-10 JIC To O-Ring 45 Degree Elbow,6802-4-10,Federal Fluid Power,0,UNKWN,AC ,20,,,,,
Size 4-8 JIC To O-Ring 45 Degree Elbow,6802-4-8,Service Manufacturing Supply,64,HAZL ONLY,AC,,,,,,
Size 4-6 JIC To O-Ring 45 Degree Elbow,6802-4-6,Federal Fluid Power,4,UNKWN,AC,,,,,,
Size 4 JIC To O-Ring Connector 45 Degree Elbow,6802-4-4,Federal Fluid Power,10,UNKWN,AC,,,,,,
Size 6 Cap,0304-C-6,Service Manufacturing Supply,38,HAZL ONLY,AC,,,,,,
Size 12 Cap,0304-C-12,Federal Fluid Power,44,UNKWN,AC,,,,,,
Size 16 Cap,0304-C-16,Federal Fluid Power,23,UNKWN,AC,,,,,,
Size 6 JIC Male Elbow 90 Degree,2501-6-6,Service Manufacturing Supply,6,HAZL ONLY,AC,,,,,,
Size 6 JIC Male Long Elbow 90 Degree,2501-L-6-6,Federal Fluid Power,1,UNKWN,AC,,,,,,
Size 16 Male Elbow 90 Degree,2501-16-16,Federal Fluid Power,3,UNKWN,AC,,,,,,
Size 16-12 Male Elbow 90 Degree,2501-16-12,Federal Fluid Power,5,UNKWN,AC,,,,,,
Size 6 JIC Bulkhead Union,2700-6-6,Service Manufacturing Supply,21,HAZL ONLY,AC,,,,,,
Size 6 JIC To O-Ring Connector,6400-6-6,Service Manufacturing Supply,16,HAZL ONLY,AC,,,,,,
Size 4-6 JIC To O-Ring Connector,6400-4-6,Federal Fluid Power,13,UNKWN,AC,,,,,,
Size 6 JIC Swivel Nut Elbow,6500-6,Service Manufacturing Supply,16,HAZL ONLY,AC,,,,,,
Size 6-4 JIC To O-Ring Elbow Connector,6801-6-4,Federal Fluid Power,,,,,,,,,
Size 6 JIC To O-Ring Elbow Connector,6801-6-6,Service Manufacturing Supply,10,HAZL ONLY,AC,,,,,,
Size 6 JIC To O-Ring 45 Degree Elbow,6802-6-8,Service Manufacturing Supply,45,HAZL ONLY,AC,,,,,,
Size 6 JIC To O-Ring 45 Degree Elbow,6802-6-10,Federal Fluid Power,5,UNKWN,AC,,,,,,
Size 6 JIC Elbow Connector 45 Degree,6802-6-6,Federal Fluid Power,18,Shared btwn HAZL AND MAZL,AC,,,,,,
Size 6-8 JIC To O-Ring Branch Tee,6802-6-6-6,Service Manufacturing Supply,,HAZL ONLY,,,,,,,
Size 12 JIC To O-Ring Connector,1643939,Service Manufacturing Supply,20,HAZL ONLY,AC,,,,,,
Size 12 JIC Swivel Nut Elbw,1680463,Service Manufacturing Supply,0,Shared btwn HAZL AND MAZL,AC,20,,,,,
Size 16-4 JIC Reducer,2406-16-4,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,,
Size 16-6 JIC Reducer,2406-16-6,Federal Fluid Power,4,UNKWN,AC,,,,,,
Size 16-6 JIC Reducer,2406-16-8,Service Manufacturing Supply,2,HAZL ONLY,AC,,,,,,
Size 16 JIC Union Elbow 90 Degree,2500-16-16,Service Manufacturing Supply,8,HAZL ONLY,AC,,,,,,
Size 6 JIC Union Elbow 90 Degree,2500-6-6,Federal Fluid Power,13,UNKWN,AC,,,,,,
